Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
dd_Smed_v4_13985_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_12674_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_5102_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_8606_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_13487_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_28401_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_30210_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_11285_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_4545_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_7974_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_22585_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
dd_Smed_v4_86413_0_1	BSPO:0000055: anterior side	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:50:02 2020
