Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
dd_Smed_v4_659_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_601_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_246_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_4878_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_629_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_4808_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_10221_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_756_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_285_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_10594_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_565_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_1258_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_1396_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_1095_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_294_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_1331_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_2458_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_618_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_2250_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_839_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_2297_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
dd_Smed_v4_1181_0_1	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 16:58:28 2020
