Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
dd_Smed_v4_4172_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_7664_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_7227_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_507_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_3519_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_158_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_246_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_13056_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_285_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_10921_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_1331_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_420_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_4878_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_3654_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_2143_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_512_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_10356_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_2331_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_850_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_9063_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_1999_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_5781_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_12595_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
dd_Smed_v4_4675_0_1	PLANA:0000044: cephalic ganglia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:12:23 2020
