Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
dd_Smed_v4_14391_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_11650_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_16209_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_16227_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_13186_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_7326_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_13065_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_12467_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_13735_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_7247_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_2924_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_9145_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_5336_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_10404_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_607_1_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_5148_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_3986_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_315_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_10161_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_12456_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_2442_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_5406_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_3245_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_16743_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_5105_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_1289_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_5404_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_4427_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_9430_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_5531_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_4116_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_11851_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_6343_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_10579_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_3850_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_1880_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_9696_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_959_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_4450_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_3044_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_3556_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_7844_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_2156_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_12854_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_2856_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_2705_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_7926_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_8576_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_7415_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_3487_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_5277_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_13582_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_25001_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_10841_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_5818_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_6613_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_7810_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_337_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
dd_Smed_v4_7460_0_1	PLANA:0003804: posterior muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:51:15 2020
