Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
dd_Smed_v4_1545_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_12722_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_11968_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_6208_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_3063_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_3944_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_1898_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_19602_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_20242_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_11630_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_13399_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_14790_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_9061_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_3977_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_2492_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_10921_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_4389_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_17395_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_13603_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_11839_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_12883_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_14363_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_7480_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_9830_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_16650_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_4222_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_4244_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_6478_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_6976_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_3230_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_11513_1_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_3093_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_14203_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_3628_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
dd_Smed_v4_9453_0_1	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:41:22 2020
