Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
dd_Smed_v4_554_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_561_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_3572_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_493_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_1673_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_20799_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_5453_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_35318_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_20759_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_220_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_5781_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_4252_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_33732_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:23 2020
dd_Smed_v4_1422_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_5238_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_1213_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_9190_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_250_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_1973_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_3569_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_1952_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_19942_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_613_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_177_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_12001_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_28660_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
dd_Smed_v4_507_0_1	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:03:24 2020
