Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
Contig39608	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig54171	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig51132	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig48541	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig37540	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig28899	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig37647	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig42640	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig38745	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig17685	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig16874	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig51729	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig48015	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig44158	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig45695	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig37597	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig7331	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig38044	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig20539	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig48859	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig51606	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig37230	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig41917	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig16798	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig50398	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig36036	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig38956	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig51429	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig44395	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig40770	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig49458	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig43742	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig50839	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig37188	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig18201	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig42256	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig20491	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig53708	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig49650	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig36175	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig40754	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig52141	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig49913	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig39835	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig38869	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig50106	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig25563	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig22490	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig24113	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig12011	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig31025	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig36859	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig17656	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig43639	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:11 2020
Contig50327	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:12 2020
Contig4777	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:12 2020
Contig45787	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:12 2020
Contig45824	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:12 2020
Contig25354	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:12 2020
Contig40438	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:12 2020
Contig37289	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:12 2020
Contig49655	PLANA:0000027: Smed sexual biotype	ECO:0001560	PLANA:0000027	PLANA:0004503	PLANA:0002138	0000-0003-2569-1939	29674431	Sun Oct 25 17:20:12 2020
