Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
GU591870	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591871	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591872	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591873	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591874	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591875	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591876	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591877	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU562964	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591864	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591865	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591866	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591867	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591868	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
GU591869	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	VID	21356107	Fri Dec 20 01:26:50 2019
