Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
JQ425154 	PLANA:0000014: zeta neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:31 2019
comp1187_c0_seq1	PLANA:0000014: zeta neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:31 2019
JQ425160	PLANA:0000014: zeta neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:31 2019
JQ425153 	PLANA:0000014: zeta neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:31 2019
JQ425153	PLANA:0000014: zeta neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:31 2019
JQ425156	PLANA:0000014: zeta neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:31 2019
JQ425151	PLANA:0000009: sigma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:46 2019
JQ425152	PLANA:0000009: sigma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:46 2019
comp9026_c0_seq1	PLANA:0000009: sigma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:46 2019
comp4155_c0_seq1	PLANA:0000009: sigma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:46 2019
JQ425145	PLANA:0000009: sigma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:46 2019
comp986_c0_seq1	PLANA:0000009: sigma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:46 2019
comp3519_c0_seq6	PLANA:0000009: sigma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:46 2019
comp1412_c0_seq1	PLANA:0000009: sigma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:46 2019
JQ425152	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
comp9026_c0_seq1	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
comp4155_c0_seq1	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
JQ425145	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
comp986_c0_seq1	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
comp3519_c0_seq6	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
comp1412_c0_seq1	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
JF802198	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
comp5979_c0_seq1	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
comp3137_c0_seq1	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
comp4402_c0_seq1	PLANA:0000039: gamma neoblast	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:36:59 2019
JQ425154 	PLANA:0000014: zeta neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:38:11 2019
JQ425160 	PLANA:0000014: zeta neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:38:11 2019
JQ425153 	PLANA:0000014: zeta neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:38:11 2019
JQ425156 	PLANA:0000014: zeta neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:38:11 2019
JQ425151 	PLANA:0000009: sigma neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:38:30 2019
JQ425152 	PLANA:0000009: sigma neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:38:30 2019
comp195_c0_seq1	PLANA:0002111: X2 cell	ECO:0000295	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:39:12 2019
comp195_c0_seq1	PLANA:0002109: X1 cell	ECO:0000295	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:39:12 2019
comp195_c0_seq1	PLANA:0002111: X2 cell	ECO:0000295	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:39:12 2019
comp195_c0_seq1	PLANA:0002109: X1 cell	ECO:0000295	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:39:12 2019
comp482_c0_seq1	PLANA:0002111: X2 cell	ECO:0000295	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:39:12 2019
comp482_c0_seq1	PLANA:0002109: X1 cell	ECO:0000295	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:39:12 2019
comp2227_c0_seq1	PLANA:0002111: X2 cell	ECO:0000295	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:39:12 2019
comp2227_c0_seq1	PLANA:0002109: X1 cell	ECO:0000295	PLANA:0000024	PLANA:0004504	PLANA:0002138	stn	25017721	Wed Dec 18 12:39:12 2019
