Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (SIMR id)	PMID	Date
chd4	PLANA:0000035: Category 3 cell (Synonym = Smed-AGAT-1+ cell	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:23:59 2019
chd4	PLANA:0002142: parenchyma	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:23:59 2019
chd4	PLANA:0000044: cephalic ganglia (Synonym = brain	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:23:59 2019
chd4	PLANA:0000097: ventral nerve cord	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:23:59 2019
p53	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:27:25 2019
SMED30000058	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:39:16 2019
SMED30000639	PLANA:0000026: gut	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:39:59 2019
SMED30000827	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:41:04 2019
SMED30000827	PLANA:0000034: epidermis	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:41:04 2019
SMED30000902	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:09 2019
SMED30001567	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:09 2019
SMED30002098	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:09 2019
SMED30002215	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:09 2019
SMED30002242	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:09 2019
SMED30002356	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30002877	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30003044	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30003172	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30003242	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30003449	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30003809	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30003947	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30004532	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30004606	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30004747	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30005357	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30005508	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
SMED30005644	PLANA:0002142: parenchyma (Synonym = mesenchyme	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	auk	26457503	Mon Nov 11 16:45:10 2019
