Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
GCR099	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR114	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR230	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR159	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR158	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR155	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR102	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR106	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR143	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
Smed-npyr-7	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
Smed-npyr-3	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
Smed-npyr-1	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:09 2019
GCR144	PLANA:0000232: copulatory apparatus	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:38 2019
GCR155	PLANA:0000224: cement gland	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:58 2019
GCR106	PLANA:0000224: cement gland	ECO:0001839	PLANA:0000027	PLANA:0004503	PLANA:0000136	eld	27163480	Tue Dec 17 17:14:58 2019
