Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (SIMR id)	PMID	Date
egfr-3	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:08 2019
fgfr-1	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:08 2019
fgfr-3	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:08 2019
fgfr-4	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:08 2019
inr-1	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:08 2019
egfr-3	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:44 2019
fgfr-1	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:44 2019
fgfr-3	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:44 2019
fgfr-4	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:44 2019
inr-1	PLANA:0000429: neoblast	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:45:44 2019
nrg-7	PLANA:0000028: Category 2 cell (Synonym = early progeny	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:46:21 2019
nrg-7	PLANA:0000012: neural progenitor cell	ECO:0001047	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:46:21 2019
cdk1	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:46:51 2019
cyclin-B2	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:46:51 2019
mf8	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:46:51 2019
wee1-like	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:46:51 2019
chk	PLANA:0000429: neoblast	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	27523733	Thu Nov 14 11:46:51 2019
