Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
SMED30014940	PLANA:0000023: embryonic pharynx	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Fri Nov 15 17:21:46 2019
SMED30014940	PLANA:0000029: primitive ectoderm	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Fri Nov 15 17:21:46 2019
gelsolin-like	PLANA:0000023: embryonic pharynx	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Fri Nov 15 17:21:46 2019
gelsolin-like	PLANA:0000029: primitive ectoderm	ECO:0001839	PLANA:0000027	PLANA:0000002	PLANA:0000136	eld	28072387	Fri Nov 15 17:21:46 2019
SMED30014940	PLANA:0000023: embryonic pharynx	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:39 2019
SMED30014940	PLANA:0000029: primitive ectoderm	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:39 2019
gelsolin-like	PLANA:0000023: embryonic pharynx	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:39 2019
gelsolin-like	PLANA:0000029: primitive ectoderm	ECO:0001839	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:39 2019
SMED30014940	PLANA:0000023: embryonic pharynx	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:42 2019
SMED30014940	PLANA:0000029: primitive ectoderm	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:42 2019
gelsolin-like	PLANA:0000023: embryonic pharynx	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:42 2019
gelsolin-like	PLANA:0000029: primitive ectoderm	ECO:0001839	PLANA:0000027	PLANA:0000004	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:42 2019
SMED30014940	PLANA:0000023: embryonic pharynx	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:45 2019
SMED30014940	PLANA:0000029: primitive ectoderm	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:45 2019
gelsolin-like	PLANA:0000023: embryonic pharynx	ECO:0001839	PLANA:0000027	PLANA:0000005	PLANA:0000136	eld	28072387	Fri Nov 15 17:22:45 2019
