Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (SIMR id)	PMID	Date
SMED30000326	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30002378	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30015313	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30015702	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30018299	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30021818	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30021912	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30031438	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30034461	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30000081	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30000348	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30000416	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30001027	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30002986	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30003042	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30003333	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30003973	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30004295	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30005010	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30005752	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30006522	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30007251	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30007815	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30008247	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30008930	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30009061	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30009343	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30010025	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30010295	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30010840	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30010862	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30010923	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30010931	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30011039	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30011932	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30012165	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30012779	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30013669	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30013796	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30014873	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30015606	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30016718	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30016896	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30016957	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30017162	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30018399	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30018483	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30018602	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30018726	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30018792	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30020231	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30020288	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30020474	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30020489	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30020916	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30020921	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30021062	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30021938	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30022068	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30022136	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30022885	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30023593	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30024001	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30024483	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30025427	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30026025	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30026928	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30027182	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30028654	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30029484	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30029884	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30031056	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30031146	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30032012	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30032135	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30032619	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30033898	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30034537	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30034679	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:54 2019
SMED30035037	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30035346	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
SMED30035985	PLANA:0000003: Stage 3	ECO:0000295	PLANA:0000027	PLANA:0000003	PLANA:0000136	eld	28072387	Fri Nov 15 18:26:55 2019
