Accession	Term	experimental evidence	biotype	life cycle stage	Sample Type	Curator (ORCID)	PMID	Date
SMU15028413	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:09:55 2019
SMU15028413	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:09:55 2019
SMU15002166	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:09:56 2019
SMU15002166	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:09:56 2019
SMU15030580	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:09:56 2019
SMU15030580	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:09:56 2019
SMU15030580	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15030580	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15037841	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15037841	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15001981	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15001981	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15037683	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15037683	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU150038429	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU150038429	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU150038680	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU150038680	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15025606	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15025606	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15005679	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15005679	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15013178	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15013178	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15017366	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15017366	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15033702	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15033702	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15034748	PLANA:0000044: cephalic ganglia	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
SMU15034748	PLANA:0003116: parenchymal cell	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	stn	30237141	Wed Nov 13 12:11:26 2019
