Accession	Term	Experimental Evidence	Biotype	Life Cycle Stage	Specimen	Curator (ORCID)	Pubmed ID	Date
BK013028	PLANA:0000043: dorsal ventral margin of the whole animal	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:33:43 2021
BK013028	PLANA:0000099: neuron (Synonym = neuronal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:34:14 2021
BK013026	PLANA:0000033: epidermal progenitor cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:35:39 2021
BK013026	PLANA:0007566: non-ciliated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:35:39 2021
BK013019	PLANA:0000016: pharynx	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:37:19 2021
BK013019	PLANA:0003112: pharynx muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:38:47 2021
BK013019	PLANA:0002032: epidermal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:38:47 2021
BK013019	PLANA:0000099: neuron (Synonym = nerve cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:38:47 2021
BK013022	PLANA:0003112: pharynx muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:39:10 2021
BK013027	PLANA:0000464: GABAergic neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:40:42 2021
BK013027	PLANA:0007567: cilated neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:40:42 2021
BK013021	PLANA:0003107: body wall muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:42:53 2021
BK013018	PLANA:0000418: head region	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:45:00 2021
BK013018	PLANA:0003112: pharynx muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:45:18 2021
BK013018	PLANA:0003107: body wall muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:45:18 2021
BK013034	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:46:25 2021
BK013034	PLANA:0002075: pigment cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:46:25 2021
BK013020	PLANA:0000032: dorsal midline	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:47:38 2021
BK013020	BSPO:0000016: dorsal-ventral axis (Synonym = dorsoventral axis	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:47:38 2021
BK013020	PLANA:0003107: body wall muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:48:11 2021
BK013023	PLANA:0003112: pharynx muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:48:36 2021
BK013017	PLANA:0000016: pharynx	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:50:28 2021
BK013017	BSPO:0000063: dorsal side	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:50:28 2021
BK013017	PLANA:0000418: head region	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:50:28 2021
BK013017	PLANA:0000099: neuron (Synonym = neuronal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:50:48 2021
BK013017	PLANA:0000020: protonephridia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:50:48 2021
BK013030	PLANA:0000103: central nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:52:13 2021
BK013030	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:53:12 2021
BK013030	PLANA:0000099: neuron (Synonym = nerve cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:53:12 2021
BK013030	PLANA:0003107: body wall muscle cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:53:12 2021
BK013032	PLANA:0000103: central nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:53:38 2021
BK013032	PLANA:0000464: GABAergic neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:54:27 2021
BK013032	PLANA:0000105: secretory cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:54:27 2021
BK013032	PLANA:0000099: neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:54:27 2021
BK013032	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:54:27 2021
BK013035	PLANA:0000099: neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:54:55 2021
BK013035	PLANA:0000103: central nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:55:07 2021
BK013014	PLANA:0000103: central nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:55:31 2021
BK013014	PLANA:0000099: neuron (Synonym = nerve cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:24 2021
BK013014	PLANA:0000105: secretory cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:24 2021
BK013014	PLANA:0000020: protonephridia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:24 2021
BK013014	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:24 2021
BK013016	PLANA:0000099: neuron (Synonym = nerve cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:48 2021
BK013016	PLANA:0000105: secretory cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:48 2021
BK013016	PLANA:0000020: protonephridia	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:48 2021
BK013016	PLANA:0000016: pharynx	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:48 2021
BK013016	PLANA:0000033: epidermal progenitor cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:48 2021
BK013016	PLANA:0000103: central nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:56:59 2021
BK013015	PLANA:0000103: central nervous system	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:57:48 2021
BK013015	PLANA:0000099: neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:58:54 2021
BK013015	PLANA:0000105: secretory cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:58:55 2021
BK013025	PLANA:0000136: whole organism	ECO:0001839	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:59:27 2021
BK013025	PLANA:0000099: neuron	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:59:51 2021
BK013025	PLANA:0003116: parenchymal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:59:51 2021
BK013025	PLANA:0000105: secretory cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:59:51 2021
BK013025	PLANA:0002032: epidermal cell	ECO:0001560	PLANA:0000024	PLANA:0004504	PLANA:0000136	0000-0002-9577-840X	33536473	Wed Nov  3 10:59:51 2021
