Accession	new_accession	PMID
14-3-3b/a	SMED30031447	26711341
23035	SMED30023035	27523733
43892	SMED30015368	279364
Abd-Ba	EU082823.1	23318641
abdBa	EU082823.1	25558068
admp	HQ911779.1	23318641
admp	HQ911779.1	24415944
AGAT-1	SMED30018353	23318635
AGAT-1	SMED30018353	23318641
AGAT-1	SMED30018353	24704339
Agat-1	SMED30018353	26114597
AGAT-1	SMED30018353	28072387
agat-1	SMED30018353	28292427
agat-1	SMED30018353	29357350
ago1	JF263459	21894189
ALAS	SMED30009717	27551436
Albino	KX531078.1	27551436
ap-2	JX010470.1	24992682
ap-2	JX010470.1	25254346
aspm	SMED30006065	27523733
atg9A	SMED30017177	26711341
ATPase	SMED30033118	27523733
AY06817	AY068175.1	20865784
bcap31	SMED30016492	279364
Beta-catenin-3	KY196224.1	28976975
Beta-catenin-4	KY196225.1	28976975
bmp4	ABV04322.1	21295483
bmp4	ABV04322.1	23318641
bruli-1	DQ344977.2	28072387
bruli-1	DQ344977.2	29357350
BTF3-like	SMED30027646	28072387
castor	SMED30024786	25254346
CAVII-1	SMED30021661	21828097
CAVII-1	SMED30021661	28072387
CAVII	SMED30021661	24523458
CBX3	SMED30032645	22696458
cdk1	FJ588601.1	27523733
chat	FG310880	23318641
chat	FG310880	24415944
chat	FG310880	24992682
chat	FG310880	25558068
chat	FG310880	25725068
CHD4	GU980571.1	20223763
chd4	GU980571.1	26457503
chk	SMED30011043	27523733
cintillo	AY067542.1	18287199
cintillo	AY067542.1	23318635
cintillo	AY067542.1	23318641
cintillo	AY067542.1	25725068
Clone	DQ086493	16033796
comp1187_c0_seq1	JX010505.1	25017721
comp1412_c0_seq1	JQ425157.1	25017721
comp195_c0_seq1	JQ425140.1	25017721
comp2227_c0_seq1	DQ344977.2	25017721
comp3137_c0_seq1	JF802199.1	25017721
comp3519_c0_seq6	JQ425159.1	25017721
comp4155_c0_seq1	JQ278719.1	25017721
comp4402_c0_seq1	JQ425149.1	25017721
comp482_c0_seq1	SMED30007343	25017721
comp5979_c0_seq1	SMED30011793	25017721
comp9026_c0_seq1	SMED30025778	25017721
comp986_c0_seq1	KC353351.1	25017721
Contig6664_SE3	SMED30024729	20844018
Contig6684_SE3	SMED30024192	20844018
crocc	SMED30030007	28072387
CSTF3	SMED30017552	22696458
CTSL-like	SMED30023322	28072387
