Accession 	 Term 	 PMID
F633690 	 PLANA:0000103: central nervous system 	 17905225
F633690 	 PLANA:0000043: dorsal ventral margin of the whole animal 	 17905225
F633690 	 PLANA:0000016: pharynx 	 17905225
F633690 	 PLANA:0000072: mouth 	 17905225
F633690 	 PLANA:0000032: dorsal midline 	 17905225
Smed-EphA 	 PLANA:0000032: dorsal midline 	 17905225
Smed-EphA 	 PLANA:0000043: dorsal ventral margin of the whole animal 	 17905225
EU29663 	 PLANA:0000420: parapharyngeal region 	 18063755
EU29663 	 BSPO:0000072: posterior region 	 18063755
Smed-fz-3 	 PLANA:0000062: esophagus 	 18063757
Smed-fz-8 	 PLANA:0000062: esophagus 	 18063757
Smed-fz-10 	 PLANA:0000062: esophagus 	 18063757
Smed-fz-1 	 PLANA:0000044: cephalic ganglia 	 18063757
Smed-fz-2 	 PLANA:0000044: cephalic ganglia 	 18063757
Smed-fz-3 	 PLANA:0000044: cephalic ganglia 	 18063757
Smed-fz-5 	 PLANA:0000044: cephalic ganglia 	 18063757
Smed-fz-7 	 PLANA:0000044: cephalic ganglia 	 18063757
Smed-fz-8 	 PLANA:0000044: cephalic ganglia 	 18063757
Smed-fz-9 	 PLANA:0000044: cephalic ganglia 	 18063757
Smed-fz-10 	 PLANA:0000044: cephalic ganglia 	 18063757
Smed-fz-10 	 PLANA:0000097: ventral nerve cord (Synonym = VNC 	 18063757
Smed-fz-8 	 PLANA:0000097: ventral nerve cord (Synonym = VNC 	 18063757
Smed-fz-7 	 PLANA:0000097: ventral nerve cord (Synonym = VNC 	 18063757
Smed-fz-7 	 PLANA:0000097: ventral nerve cord 	 18063757
Smed-fz-5 	 PLANA:0000097: ventral nerve cord 	 18063757
Smed-fz-1 	 PLANA:0000097: ventral nerve cord 	 18063757
Smed-wnt6 	 PLANA:0000140: anterior region (Synonym = anterior region of whole organism 	 18063757
Smed-fz-1 	 PLANA:0000140: anterior region (Synonym = anterior region of whole organism 	 18063757
Smed-fz-3 	 PLANA:0000140: anterior region (Synonym = anterior region of whole organism 	 18063757
Smed-fz-5 	 PLANA:0000140: anterior region (Synonym = anterior region of whole organism 	 18063757
Smed-fz-6 	 PLANA:0000140: anterior region (Synonym = anterior region of whole organism 	 18063757
Smed-sFRP1 	 PLANA:0000140: anterior region (Synonym = anterior region of whole organism 	 18063757
Smed-sFRP-a 	 PLANA:0000140: anterior region (Synonym = anterior region of whole organism 	 18063757
Smed-sFRP2 	 PLANA:0000140: anterior region (Synonym = anterior region of whole organism 	 18063757
