UniqueID	Synonym	PMID	curator	date
SmedASXL_014635	hemicentin	32078629	0000-0002-3528-5267	11/2/2021
SmedASXL_006481	Smed-megf6	32078629	0000-0002-3528-5267	11/2/2021
MK430162.1	Smed-hmcn-1	30962434	0000-0002-3528-5267	11/2/2021
BK010973	bls1a	32122990	0000-0002-3528-5267	11/2/2021
BK010974	bls1b	32122990	0000-0002-3528-5267	11/2/2021
BK010975	bls2a	32122990	0000-0002-3528-5267	11/2/2021
BK010976	bls2b	32122990	0000-0002-3528-5267	11/2/2021
BK010977	bls3a	32122990	0000-0002-3528-5267	11/2/2021
BK010978	bls3b	32122990	0000-0002-3528-5267	11/2/2021
BK010979	bls3c	32122990	0000-0002-3528-5267	11/2/2021
BK010980	bls3d	32122990	0000-0002-3528-5267	11/2/2021
BK010981	bls3e	32122990	0000-0002-3528-5267	11/2/2021
BK010982	bls3f	32122990	0000-0002-3528-5267	11/2/2021
BK010983	bls3g	32122990	0000-0002-3528-5267	11/2/2021
BK010984	bls4a	32122990	0000-0002-3528-5267	11/2/2021
BK010985	bls4b	32122990	0000-0002-3528-5267	11/2/2021
BK010986	bls5a	32122990	0000-0002-3528-5267	11/2/2021
BK010987	bls5b	32122990	0000-0002-3528-5267	11/2/2021
BK014290	lrp5/6	33467529	0000-0002-3528-5267	11/3/2021
BK014290	Smed-lrp5/6	33467529	0000-0002-3528-5267	11/3/2021
BK013025.1	Smed-foxO	33536473	0000-0002-3528-5267	11/4/2021
BK013025	foxO	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_3040_0_1	Smed-foxO	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_10718_0_1	Smed-foxA1	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_39758_0_1	Smed-foxA2	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_30453_0_1	Smed-foxA(P)	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_16297_0_1	Smed-foxC1	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_18389_0_1	Smed-foxC2	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_23249_0_1	Smed-foxD1	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_30720_0_1	Smed-foxD2	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_17749_0_1	Smed-foxD3	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_15035_0_1	Smed-foxF1	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_6910_0_1	Smed-foxF2	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_16466_0_1	Smed-foxG	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_19255_0_1	Smed-foxL1	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_50245_0_1	Smed-foxQ/D	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_14635_0_1	Smed-foxJ1-1	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_99867_0_1	Smed-foxJ1-2	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_103874_0_1	Smed-foxJ1-3	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_10152_0_1	Smed-foxJ1-4	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_13009_0_1	Smed-foxJ1-5	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_4500_0_1	Smed-foxK1	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_5767_0_1	Smed-foxK2	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_7583_0_1	Smed-foxK3	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_11337_0_1	Smed-foxN2/3-1	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_13005_0_1	Smed-foxN2/3-2	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_4078_0_2	Smed-foxN2/3-3	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_12170_0_1	Smed-foxN(P)	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_3040_0_1	Smed-foxO	33536473	0000-0002-3528-5267	11/4/2021
dd_Smed_v6_6316_0_1	Smed-foxP	33536473	0000-0002-3528-5267	11/4/2021
JX010556	Smed-foxA1	33536473	0000-0002-3528-5267	11/4/2021
BK013013	Smed-foxA1	33536473	0000-0002-3528-5267	11/4/2021
BK013028	Smed-foxA2	33536473	0000-0002-3528-5267	11/4/2021
BK013026	Smed-foxA(P)	33536473	0000-0002-3528-5267	11/4/2021
BK013019	Smed-foxC1	33536473	0000-0002-3528-5267	11/4/2021
BK013022	Smed-foxC2	33536473	0000-0002-3528-5267	11/4/2021
KC577557	Smed-foxD1	33536473	0000-0002-3528-5267	11/4/2021
BK013024	Smed-foxD1	33536473	0000-0002-3528-5267	11/4/2021
BK013027	Smed-foxD2	33536473	0000-0002-3528-5267	11/4/2021
BK013021	Smed-foxD3	33536473	0000-0002-3528-5267	11/4/2021
KJ934801	Smed-foxF1	33536473	0000-0002-3528-5267	11/4/2021
BK013034	Smed-foxF2	33536473	0000-0002-3528-5267	11/4/2021
KJ934801	Smed-foxF1	33536473	0000-0002-3528-5267	11/4/2021
BK013034	Smed-foxF2	33536473	0000-0002-3528-5267	11/4/2021
BK013020	Smed-foxG	33536473	0000-0002-3528-5267	11/4/2021
BK013023	Smed-foxL1	33536473	0000-0002-3528-5267	11/4/2021
BK013031	Smed-foxQ/D	33536473	0000-0002-3528-5267	11/4/2021
JX091076	Smed-foxQ/D	33536473	0000-0002-3528-5267	11/4/2021
JX842843	Smed-foxJ1-1	33536473	0000-0002-3528-5267	11/4/2021
JX842844	Smed-foxJ1-2	33536473	0000-0002-3528-5267	11/4/2021
JX842845	Smed-foxJ1-3	33536473	0000-0002-3528-5267	11/4/2021
JX842846	Smed-foxJ1-4	33536473	0000-0002-3528-5267	11/4/2021
BK013017	Smed-foxJ1-5	33536473	0000-0002-3528-5267	11/4/2021
BK013030	Smed-foxK1	33536473	0000-0002-3528-5267	11/4/2021
BK013032	Smed-foxK2	33536473	0000-0002-3528-5267	11/4/2021
BK013035	Smed-foxK3	33536473	0000-0002-3528-5267	11/4/2021
BK013014	Smed-foxN2/3-1	33536473	0000-0002-3528-5267	11/4/2021
BK013016	Smed-foxN2/3-2	33536473	0000-0002-3528-5267	11/4/2021
BK013029	Smed-foxN2/3-3	33536473	0000-0002-3528-5267	11/4/2021
BK013015	Smed-foxN(P)	33536473	0000-0002-3528-5267	11/4/2021
BK013025	Smed-foxO	33536473	0000-0002-3528-5267	11/4/2021
KX531078	Smed-foxP	33536473	0000-0002-3528-5267	11/4/2021
BK013033	Smed-foxP	33536473	0000-0002-3528-5267	11/4/2021
